date,avg_home_value,mortgage_rate
2000-01-31,126142.61697870423,8.21
2000-02-29,126350.6984760052,8.325
2000-03-31,126611.05551503309,8.24
2000-04-30,127150.86027715795,8.1525
2000-05-31,127798.70709039751,8.515
2000-06-30,128492.13857221366,8.288
2000-07-31,129232.9907222365,8.1475
2000-08-31,130002.01180838788,8.0275
2000-09-30,130796.10551537726,7.912000000000001
2000-10-31,131589.6683818198,7.795
2000-11-30,132381.8924836062,7.745
2000-12-31,133187.29114817298,7.382000000000001
2001-01-31,134019.0976403452,7.0325
2001-02-28,134804.00518018767,7.049999999999999
2001-03-31,135543.49460953075,6.951999999999999
2001-04-30,136260.06273366362,7.0775
2001-05-31,137025.35637559442,7.145
2001-06-30,137850.30882872533,7.159999999999999
2001-07-31,138714.23066702663,7.1275
2001-08-31,139602.16873719916,6.950000000000001
2001-09-30,140491.3298297281,6.8175
2001-10-31,141392.53868031237,6.6175
2001-11-30,142239.2524123465,6.658000000000001
2001-12-31,143039.95268322297,7.065
2002-01-31,143734.2665688746,6.9975
2002-02-28,144408.97977851285,6.8925
2002-03-31,145088.19634533496,7.014
2002-04-30,145465.0660177647,6.985000000000001
2002-05-31,146221.11365983784,6.806000000000001
2002-06-30,147052.84995531314,6.65
2002-07-31,147951.5946970534,6.485000000000001
2002-08-31,148899.91072607852,6.289999999999999
2002-09-30,149887.01799943444,6.0925
2002-10-31,150893.18946858126,6.1125
2002-11-30,151894.13091745068,6.068
2002-12-31,152855.3542563751,6.047500000000001
2003-01-31,153743.49633663212,5.916
2003-02-28,154613.8512613491,5.8425
2003-03-31,155490.77272154047,5.745
2003-04-30,156413.15383590263,5.8125
2003-05-31,157428.6610501709,5.484
2003-06-30,158507.46666997613,5.23
2003-07-31,159656.7083399789,5.6325
2003-08-31,160842.43388488388,6.264000000000001
2003-09-30,162081.40090806218,6.147500000000001
2003-10-31,163353.22231269005,5.952000000000001
2003-11-30,164537.3775567772,5.9325
2003-12-31,165640.32278803995,5.876
2004-01-31,166675.48061794168,5.7125
2004-02-29,167791.87409389182,5.635
2004-03-31,169012.85124571744,5.445
2004-04-30,170371.37263094442,5.83
2004-05-31,171927.2484011234,6.27
2004-06-30,173674.8745680821,6.2875
2004-07-31,175558.73260156778,6.056
2004-08-31,177460.44151486628,5.8675
2004-09-30,179306.2204080772,5.754
2004-10-31,181089.84937069076,5.722500000000001
2004-11-30,182819.63291599206,5.73
2004-12-31,184477.06942594278,5.752000000000001
2005-01-31,185992.00851844487,5.710000000000001
2005-02-28,186950.67047299724,5.6275
2005-03-31,188547.28001157532,5.928
2005-04-30,190401.86498474638,5.855
2005-05-31,192338.65568537012,5.72
2005-06-30,194316.4684142875,5.581999999999999
2005-07-31,196301.70998605795,5.695
2005-08-31,198341.25383492847,5.82
2005-09-30,200394.1317735471,5.774
2005-10-31,203107.7593596859,6.065
2005-11-30,204143.82067045599,6.33
2005-12-31,205738.57003833578,6.272
2006-01-31,207103.35442986357,6.145
2006-02-28,208386.21744151262,6.2525
2006-03-31,209690.28667391502,6.324
2006-04-30,211082.79399316132,6.5075
2006-05-31,212415.51260960754,6.5975
2006-06-30,213583.25363668316,6.682
2006-07-31,214490.6952719108,6.7625
2006-08-31,215223.71782216054,6.523999999999998
2006-09-30,215740.4684706746,6.4025
2006-10-31,216081.55066489943,6.3575
2006-11-30,216266.16894930464,6.24
2006-12-31,216391.8875707155,6.135
2007-01-31,216508.5595261701,6.2175
2007-02-28,216644.1210288838,6.285
2007-03-31,216811.03710687478,6.156000000000001
2007-04-30,217002.52566676892,6.18
2007-05-31,217125.58783883147,6.2620000000000005
2007-06-30,217094.75408542837,6.6575000000000015
2007-07-31,216868.99528367375,6.695
2007-08-31,216595.98760707967,6.572
2007-09-30,216232.34618112698,6.3825
2007-10-31,215837.16177219365,6.375
2007-11-30,215267.03178023605,6.208000000000001
2007-12-31,214609.07706978984,6.095
2008-01-31,213811.63817650796,5.757999999999999
2008-02-29,212876.8042016888,5.9175
2008-03-31,211830.45496637083,5.97
2008-04-30,210663.49428305426,5.9175
2008-05-31,209462.19652941197,6.035999999999999
2008-06-30,208165.4071012058,6.32
2008-07-31,206710.44054570794,6.425999999999999
2008-08-31,205080.387918224,6.4775
2008-09-30,203405.16622945544,6.0375
2008-10-31,203811.80796857894,6.2
2008-11-30,200241.11039031233,6.0875
2008-12-31,198682.93677010364,5.285999999999999
2009-01-31,196497.6733101061,5.047499999999999
2009-02-28,195243.5350914439,5.13
2009-03-31,194039.50814175466,5.0025
2009-04-30,192827.0788634556,4.8100000000000005
2009-05-31,191556.91647846633,4.8575
2009-06-30,190373.00959956617,5.42
2009-07-31,189255.41787691315,5.222
2009-08-31,188276.12733928932,5.1925
2009-09-30,187337.4041435661,5.0575
2009-10-31,186532.82196787128,4.952
2009-11-30,185960.84182666588,4.875
2009-12-31,185681.8615746624,4.93
2010-01-31,185596.20796903814,5.03
2010-02-28,185571.89580050306,4.99
2010-03-31,185580.83107720182,4.9675
2010-04-30,185703.182408268,5.098000000000001
2010-05-31,185825.6447882288,4.8875
2010-06-30,185812.05885502705,4.7375
2010-07-31,185448.09308112325,4.564
2010-08-31,184840.66713364617,4.4275
2010-09-30,184005.67116936258,4.346
2010-10-31,183081.80234266777,4.225
2010-11-30,182102.59368503827,4.3
2010-12-31,181196.69459184463,4.714
2011-01-31,180381.96196379073,4.755
2011-02-28,179658.85282568051,4.9525
